中央1(电信),#genre#
广东民生,http://192.168.2.1:4000/rtp/239.77.0.225:5146
广东体育,http://192.168.2.1:4000/rtp/239.77.0.112:5146#http://192.168.2.1:4000/rtp/239.77.0.168:5146
经济科教,http://192.168.2.1:4000/rtp/239.77.0.167:5146#http://192.168.2.1:4000/rtp/239.77.0.85:5146
大湾区卫视,http://192.168.2.1:4000/rtp/239.77.0.215:5146
广东影视,http://192.168.2.1:4000/rtp/239.77.0.217:5146
广东少儿,http://192.168.2.1:4000/rtp/239.77.0.250:5146
嘉佳卡通,http://192.168.2.1:4000/rtp/239.77.0.179:5146
广州综合,http://192.168.2.1:4000/rtp/239.253.43.71:5146
广州新闻,http://192.168.2.1:4000/rtp/239.253.43.72:5146
广州影视,http://192.168.2.1:4000/rtp/239.253.43.73:5146
广州法治,http://192.168.2.1:4000/rtp/239.253.43.74:5146
深圳卫视,http://192.168.2.1:4000/rtp/239.77.1.3:5146#http://192.168.2.1:4000/rtp/239.77.1.148:5146#http://192.168.2.1:4000/rtp/239.77.0.92:5146#http://192.168.2.1:4000/rtp/239.77.0.130:5146
深圳都市频道,http://192.168.2.1:4000/rtp/239.77.1.176:5146#http://192.168.2.1:4000/rtp/239.77.1.124:5146
深圳电视剧频道,http://192.168.2.1:4000/rtp/239.77.1.177:5146#http://192.168.2.1:4000/rtp/239.77.1.125:5146
深圳财经生活,http://192.168.2.1:4000/rtp/239.77.1.242:5146
深圳娱乐频道,http://192.168.2.1:4000/rtp/239.77.1.243:5146
深圳体育健康,http://192.168.2.1:4000/rtp/239.77.1.128:5146#http://192.168.2.1:4000/rtp/239.77.1.140:5146
深圳少儿频道,http://192.168.2.1:4000/rtp/239.77.1.244:5146
深圳公共频道,http://192.168.2.1:4000/rtp/239.77.1.178:5146#http://192.168.2.1:4000/rtp/239.77.1.126:5146
深圳宝安频道,http://192.168.2.1:4000/rtp/239.77.1.67:5146
深圳龙岗频道,http://192.168.2.1:4000/rtp/239.77.1.223:5146
深圳东部频道,http://192.168.2.1:4000/rtp/239.77.1.224:5146
深圳众创TV,http://192.168.2.1:4000/rtp/239.77.1.247:5146
韶关新闻综合,http://192.168.2.1:4000/rtp/239.77.0.117:5146
湛江新闻综合,http://192.168.2.1:4000/rtp/239.77.0.141:5146
湛江公共,http://192.168.2.1:4000/rtp/239.77.0.140:5146
揭阳综合,http://192.168.2.1:4000/rtp/239.77.0.229:5146
揭阳生活,http://192.168.2.1:4000/rtp/239.77.0.251:5146
汕尾新闻综合,http://192.168.2.1:4000/rtp/239.77.0.25:5146
汕尾文化生活,http://192.168.2.1:4000/rtp/239.77.0.187:5146
江门综合,http://192.168.2.1:4000/rtp/239.77.0.201:5146
江门侨乡生活,http://192.168.2.1:4000/rtp/239.77.0.202:5146
HZTV-1,http://192.168.2.1:4000/rtp/239.77.1.232:5146
HZTV-2,http://192.168.2.1:4000/rtp/239.77.1.233:5146
珠海-1,http://192.168.2.1:4000/rtp/239.77.0.155:5146
珠海-2,http://192.168.2.1:4000/rtp/239.77.0.154:5146
肇庆综合,http://192.168.2.1:4000/rtp/239.253.43.1:5146
肇庆生活服务,http://192.168.2.1:4000/rtp/239.253.43.2:5146
河源综合,http://192.168.2.1:4000/rtp/239.253.43.213:5146
河源公共,http://192.168.2.1:4000/rtp/239.253.43.214:5146
清远新闻综合,http://192.168.2.1:4000/rtp/239.253.43.33:5146
清远文旅生活,http://192.168.2.1:4000/rtp/239.253.43.34:5146
云浮综合,http://192.168.2.1:4000/rtp/239.77.0.253:5146
云浮文旅,http://192.168.2.1:4000/rtp/239.77.0.254:5146
茂名综合,http://192.168.2.1:4000/rtp/239.77.0.206:5146
茂名公共,http://192.168.2.1:4000/rtp/239.77.0.207:5146
汕头综合,http://192.168.2.1:4000/rtp/239.253.43.45:5146#http://192.168.2.1:4000/rtp/239.77.1.130:5146
汕头经济生活,http://192.168.2.1:4000/rtp/239.253.43.46:5146#http://192.168.2.1:4000/rtp/239.77.1.131:5146
汕头文旅体育,http://192.168.2.1:4000/rtp/239.77.1.132:5146#http://192.168.2.1:4000/rtp/239.253.43.47:5146
佛山公共,http://192.168.2.1:4000/rtp/239.253.43.53:5146
佛山南海,http://192.168.2.1:4000/rtp/239.253.43.54:5146
佛山顺德,http://192.168.2.1:4000/rtp/239.253.43.55:5146
佛山影视,http://192.168.2.1:4000/rtp/239.253.43.56:5146
佛山综合,http://192.168.2.1:4000/rtp/239.253.43.57:5146
东莞新闻综合,http://192.168.2.1:4000/rtp/239.253.43.104:5146
东莞生活资讯,http://192.168.2.1:4000/rtp/239.253.43.105:5146
中山综合,http://192.168.2.1:4000/rtp/239.253.43.62:5146
香山文化,http://192.168.2.1:4000/rtp/239.253.43.63:5146
潮州综合,http://192.168.2.1:4000/rtp/239.253.43.70:5146
潮州民生,http://192.168.2.1:4000/rtp/239.253.43.75:5146
徐闻综合,http://192.168.2.1:4000/rtp/239.253.43.112:5146
梅州-1,http://192.168.2.1:4000/rtp/239.253.43.123:5146
客家生活,http://192.168.2.1:4000/rtp/239.253.43.124:5146
其他(电信),#genre#
兵器科技,http://192.168.2.1:4000/rtp/239.253.43.18:5146#http://192.168.2.1:4000/rtp/239.253.43.9:5146
电视指南,http://192.168.2.1:4000/rtp/239.253.43.19:5146#http://192.168.2.1:4000/rtp/239.253.43.10:5146
风云足球,http://192.168.2.1:4000/rtp/239.253.43.20:5146#http://192.168.2.1:4000/rtp/239.253.43.14:5146
央视台球,http://192.168.2.1:4000/rtp/239.253.43.21:5146#http://192.168.2.1:4000/rtp/239.253.43.11:5146
高尔夫网球,http://192.168.2.1:4000/rtp/239.253.43.22:5146#http://192.168.2.1:4000/rtp/239.253.43.12:5146
女性时尚,http://192.168.2.1:4000/rtp/239.253.43.23:5146#http://192.168.2.1:4000/rtp/239.253.43.8:5146
世界地理,http://192.168.2.1:4000/rtp/239.253.43.24:5146#http://192.168.2.1:4000/rtp/239.253.43.7:5146
怀旧剧场,http://192.168.2.1:4000/rtp/239.253.43.25:5146#http://192.168.2.1:4000/rtp/239.253.43.5:5146
风云剧场,http://192.168.2.1:4000/rtp/239.253.43.26:5146#http://192.168.2.1:4000/rtp/239.253.43.16:5146
央视文化精品,http://192.168.2.1:4000/rtp/239.253.43.27:5146#http://192.168.2.1:4000/rtp/239.253.43.13:5146
第一剧场,http://192.168.2.1:4000/rtp/239.253.43.28:5146#http://192.168.2.1:4000/rtp/239.253.43.15:5146
风云音乐,http://192.168.2.1:4000/rtp/239.253.43.29:5146#http://192.168.2.1:4000/rtp/239.253.43.6:5146
CHC电影,http://192.168.2.1:4000/rtp/239.77.0.27:5146
金鹰卡通,http://192.168.2.1:4000/rtp/239.77.0.164:5146
CETV-1,http://192.168.2.1:4000/rtp/239.77.1.222:5146#http://192.168.2.1:4000/rtp/239.77.0.200:5146
CETV-4,http://192.168.2.1:4000/rtp/239.77.1.200:5146#http://192.168.2.1:4000/rtp/239.253.43.40:5146#http://192.168.2.1:4000/rtp/239.253.43.114:5146
早期教育,http://192.168.2.1:4000/rtp/239.77.0.180:5146
中国交通,http://192.168.2.1:4000/rtp/239.77.1.249:5146
茶频道,http://192.168.2.1:4000/rtp/239.77.0.15:5146#http://192.168.2.1:4000/rtp/239.77.1.207:5146
快乐垂钓,http://192.168.2.1:4000/rtp/239.77.0.145:5146#http://192.168.2.1:4000/rtp/239.77.1.119:5146
金鹰纪实,http://192.168.2.1:4000/rtp/239.77.1.217:5146#http://192.168.2.1:4000/rtp/239.77.0.160:5146
上海纪实,http://192.168.2.1:4000/rtp/239.77.1.216:5146#http://192.168.2.1:4000/rtp/239.77.0.147:5146
求索纪录,http://192.168.2.1:4000/rtp/239.77.0.21:5146#http://192.168.2.1:4000/rtp/239.77.0.153:5146
梨园频道,http://192.168.2.1:4000/rtp/239.77.1.100:5146
武术世界,http://192.168.2.1:4000/rtp/239.77.1.108:5146
文物宝库,http://192.168.2.1:4000/rtp/239.77.1.120:5146
爱体育,http://192.168.2.1:4000/rtp/239.77.0.176:5146#http://192.168.2.1:4000/rtp/239.77.1.116:5146
分界线,#genre#
央视(移动),#genre#
CCTV-1综合,http://192.168.2.222:4022/rtp/239.10.0.48:1025#http://192.168.2.222:4022/rtp/239.10.0.114:1025
CCTV-2财经,http://192.168.2.222:4022/rtp/239.10.0.207:1025#http://192.168.2.222:4022/rtp/239.20.0.197:2192
CCTV-3综艺,http://192.168.2.222:4022/rtp/239.10.0.101:1025#http://192.168.2.222:4022/rtp/239.20.0.28:3292
CCTV-4国际,http://192.168.2.222:4022/rtp/239.10.0.245:1025#http://192.168.2.222:4022/rtp/239.20.0.16:3340
CCTV-4欧洲,http://192.168.2.222:4022/rtp/239.11.0.101:1025#http://192.168.2.222:4022/rtp/239.21.0.107:3768
CCTV-4美洲,http://192.168.2.222:4022/rtp/239.11.0.102:1025#http://192.168.2.222:4022/rtp/239.21.0.108:3772
CCTV-5体育,http://192.168.2.222:4022/rtp/239.10.0.102:1025#http://192.168.2.222:4022/rtp/239.20.0.30:3284
CCTV-5+体育赛事,http://192.168.2.222:4022/rtp/239.10.0.213:1025#http://192.168.2.222:4022/rtp/239.20.0.203:2204
CCTV-6电影,http://192.168.2.222:4022/rtp/239.10.0.103:1025#http://192.168.2.222:4022/rtp/239.20.0.29:3288
CCTV-7军事,http://192.168.2.222:4022/rtp/239.10.0.208:1025#http://192.168.2.222:4022/rtp/239.20.0.198:2194
CCTV-8电视剧,http://192.168.2.222:4022/rtp/239.10.0.104:1025#http://192.168.2.222:4022/rtp/239.20.0.31:3280
CCTV-9记录,http://192.168.2.222:4022/rtp/239.10.0.209:1025#http://192.168.2.222:4022/rtp/239.20.0.199:2196
CCTV-10科教,http://192.168.2.222:4022/rtp/239.10.0.210:1025#http://192.168.2.222:4022/rtp/239.20.0.200:2198
CCTV-11戏曲,http://192.168.2.222:4022/rtp/239.11.0.24:1025#http://192.168.2.222:4022/rtp/239.21.0.35:3480
CCTV-12社会与法,http://192.168.2.222:4022/rtp/239.10.0.211:1025#http://192.168.2.222:4022/rtp/239.20.0.201:2200
CCTV-13新闻,http://192.168.2.222:4022/rtp/239.10.0.198:1025#http://192.168.2.222:4022/rtp/239.21.0.88:3692
CCTV-14少儿,http://192.168.2.222:4022/rtp/239.10.0.212:1025#http://192.168.2.222:4022/rtp/239.20.0.202:2202
CCTV-15音乐,http://192.168.2.222:4022/rtp/239.11.0.25:1025#http://192.168.2.222:4022/rtp/239.21.0.36:3484
CCTV-16奥林匹克,http://192.168.2.222:4022/rtp/239.11.0.125:1025#http://192.168.2.222:4022/rtp/239.11.0.132:1025
CCTV-17农业农村,http://192.168.2.222:4022/rtp/239.10.0.244:1025#http://192.168.2.222:4022/rtp/239.20.0.7:3376
卫视(移动),#genre#
湖南卫视,http://192.168.2.222:4022/rtp/239.10.0.115:1025#http://192.168.2.222:4022/rtp/239.10.0.49:1025
江苏卫视,http://192.168.2.222:4022/rtp/239.10.0.180:1025#http://192.168.2.222:4022/rtp/239.10.0.51:1025
浙江卫视,http://192.168.2.222:4022/rtp/239.10.0.179:1025#http://192.168.2.222:4022/rtp/239.10.0.50:1025
南方卫视,http://192.168.2.222:4022/rtp/239.11.0.78:1025
广东卫视,http://192.168.2.222:4022/rtp/239.10.0.111:1025#http://192.168.2.222:4022/rtp/239.10.0.45:1025
深圳卫视,http://192.168.2.222:4022/rtp/239.20.0.122:2042#http://192.168.2.222:4022/rtp/239.10.0.132:1025#http://192.168.2.222:4022/rtp/239.10.0.52:1025
广西卫视,http://192.168.2.222:4022/rtp/239.10.0.246:1025
东方卫视,http://192.168.2.222:4022/rtp/239.10.0.183:1025
北京卫视,http://192.168.2.222:4022/rtp/239.10.0.131:1025
吉林卫视,http://192.168.2.222:4022/rtp/239.10.0.81:1025
延边卫视,http://192.168.2.222:4022/rtp/239.20.0.51:3216
四川卫视,http://192.168.2.222:4022/rtp/239.10.0.204:1025#http://192.168.2.222:4022/rtp/239.10.0.60:1025
天津卫视,http://192.168.2.222:4022/rtp/239.10.0.181:1025#http://192.168.2.222:4022/rtp/239.10.0.55:1025
安徽卫视,http://192.168.2.222:4022/rtp/239.10.0.203:1025
